admin_division_version,province_code,province_name,target_region_code,target_region_name,target_level,is_required,source_note
mca_geoname_2026_snapshot,110000,北京市,110000,北京市,municipality,1,直辖市按市级目标处理
mca_geoname_2026_snapshot,120000,天津市,120000,天津市,municipality,1,直辖市按市级目标处理
mca_geoname_2026_snapshot,130000,河北省,130100,石家庄市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,130200,唐山市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,130300,秦皇岛市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,130400,邯郸市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,130500,邢台市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,130600,保定市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,130700,张家口市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,130800,承德市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,130900,沧州市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,131000,廊坊市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,130000,河北省,131100,衡水市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140100,太原市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140200,大同市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140300,阳泉市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140400,长治市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140500,晋城市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140600,朔州市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140700,晋中市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140800,运城市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,140900,忻州市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,141000,临汾市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,140000,山西省,141100,吕梁市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150100,呼和浩特市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150200,包头市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150300,乌海市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150400,赤峰市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150500,通辽市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150600,鄂尔多斯市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150700,呼伦贝尔市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150800,巴彦淖尔市,prefecture,1,省下辖地级行政单元
mca_geoname_2026_snapshot,150000,内蒙古自治区,150900,乌兰察布市,prefecture,1,省下辖地级行政单元
